"tract","Name","Household_Income_rP_gP_pall"
34003033300,"Maywood, NJ",62988
36085014608,"Richmond County, NY",62987
36047015000,"Kings County, NY",62982
36059407700,"Westbury, NY",62952
36047070000,"Kings County, NY",62907
34013013900,"Nutley, NJ",62904
34003006100,"Cliffside Park, NJ",62891
34013017400,"West Orange, NJ",62878
36081130100,"Queens County, NY",62874
36059520401,"Farmingdale, NY",62822
36103135101,"Commack, NY",62789
36059520200,"Bethpage, NY",62753
36085027301,"Richmond County, NY",62712
36047074400,"Kings County, NY",62712
36119002204,"Lawrence Park, Yonkers, NY",62706
36085002002,"Richmond County, NY",62695
36059415000,"Merrick, NY",62692
34031175601,"Passaic, NJ",62651
36061006100,"Lower Manhattan, New York, NY",62645
36081066300,"Queens County, NY",62580
36119004500,"North Side, Mount Vernon, NY",62569
36081119500,"Queens County, NY",62535
36059406100,"West Hempstead, NY",62523
36059520300,"Bethpage, NY",62520
36061005900,"Lower Manhattan, New York, NY",62504
36081119900,"Queens County, NY",62464
36081063302,"Queens County, NY",62451
36059517301,"Glen Cove, NY",62445
36059405400,"Elmont, NY",62436
34023002401,"Colonia, Woodbridge Township, NJ",62429
36047020200,"Kings County, NY",62412
36047045000,"Kings County, NY",62395
36047069800,"Kings County, NY",62343
36047000501,"Kings County, NY",62324
34003029200,"Little Ferry, NJ",62321
36103134702,"Kings Park, NY",62311
34023001413,"Edison, NJ",62303
36081109700,"Queens County, NY",62263
36047044600,"Kings County, NY",62251
34017006600,"Jersey City, NJ",62247
34031124602,"Clifton, NJ",62242
36081120700,"Queens County, NY",62242
36081077902,"Queens County, NY",62210
36103134907,"Kings Park, NY",62164
36081143500,"Queens County, NY",62138
36047035601,"Kings County, NY",62061
34027041802,"Parsippany, Parsippany-Troy Hills, NJ",62030
36081134100,"Queens County, NY",61985
36085013204,"Richmond County, NY",61983
36059518000,"Oyster Bay, NY",61965
36005027402,"Bronx County, NY",61949
36081107201,"Queens County, NY",61843
36059412800,"South Hempstead, NY",61811
36059408800,"Levittown, NY",61754
36047065800,"Kings County, NY",61743
34003041302,"Palisades Park, NJ",61727
34003038100,"North Arlington, NJ",61702
34003031300,"Lyndhurst, NJ",61700
34039033800,"Roselle Park, NJ",61694
36103111701,"East Northport, NY",61685
36085022600,"Richmond County, NY",61636
36081063500,"Queens County, NY",61633
36081104700,"Queens County, NY",61618
36085004700,"Richmond County, NY",61546
36085018702,"Richmond County, NY",61546
34039032100,"Elizabeth, NJ",61515
34003045200,"Ridgefield, NJ",61489
34003050000,"Rochelle Park, NJ",61448
36059517902,"Bayville, NY",61437
34003033200,"Maywood, NJ",61385
34013021701,"Caldwell, NJ",61339
34023001416,"Edison, NJ",61331
36085029104,"Richmond County, NY",61310
36085013203,"Richmond County, NY",61279
34013013700,"Nutley, NJ",61279
34039037300,"Cranford, NJ",61270
34003003300,"Bergenfield, NJ",61258
34023002302,"Colonia, Woodbridge Township, NJ",61241
36059413600,"Baldwin, NY",61216
34003006202,"Cliffside Park, NJ",61198
36005044901,"Bronx County, NY",61182
36081121500,"Queens County, NY",61173
36081155102,"Queens County, NY",61167
36081140901,"Queens County, NY",61084
36061012600,"Lenox Hill, New York, NY",61016
34039033700,"Roselle Park, NJ",61008
36059301800,"Manhasset, NY",60975
36005018400,"Bronx County, NY",60936
34003037202,"New Milford, NJ",60915
36059412301,"Rockville Centre, NY",60880
36047045200,"Kings County, NY",60833
34003004001,"Bogota, NJ",60818
34003003100,"Bergenfield, NJ",60816
36085009602,"Richmond County, NY",60810
34017011500,"Constable Hook, Bayonne, NJ",60808
34023001002,"South Plainfield, NJ",60792
34023003700,"Carteret, NJ",60779
36085029103,"Richmond County, NY",60759
36061010800,"Midtown, New York, NY",60756
36081088400,"Queens County, NY",60745
36085013400,"Richmond County, NY",60741
34023003101,"Metuchen, NJ",60718
34003052200,"Saddle Brook, NJ",60713
34031154001,"Little Falls, NJ",60666
36047030600,"Kings County, NY",60625
34013016900,"Montclair, NJ",60606
34013015000,"Bloomfield, NJ",60605
36061016700,"Upper West Side, New York, NY",60596
36061017500,"Upper West Side, New York, NY",60580
34023000901,"South Plainfield, NJ",60577
36005051600,"Bronx County, NY",60574
36119005902,"New Rochelle, NY",60476
36085005000,"Richmond County, NY",60420
36061006300,"Lower Manhattan, New York, NY",60414
36047060000,"Kings County, NY",60402
36047037401,"Kings County, NY",60382
36081065900,"Queens County, NY",60351
36103111503,"Greenlawn, NY",60333
36119007200,"Mamaroneck, NY",60317
36005044902,"Bronx County, NY",60280
34031264102,"Woodland Park, NJ",60227
34027040101,"Lincoln Park, NJ",60205
34039033400,"Union, NJ",60186
36059517302,"Glen Cove, NY",60179
36103124401,"West Babylon, NY",60160
34031154002,"Little Falls, NJ",60142
36047017400,"Kings County, NY",60136
36103122602,"Deer Park, NY",60133
36059416402,"Long Beach, NY",60103
