"tract","Name","Household_Income_rP_gP_pall"
6037461200,"Altadena, CA",54438
6059063004,"Newport Beach, CA",54438
6059052428,"Trabuco Canyon, CA",54420
6059052425,"Lake Forest, CA",54376
6037295103,"Harbor, Los Angeles, CA",54370
6059099404,"Huntington Beach, CA",54359
6037135102,"West Hills, Los Angeles, CA",54351
6037143500,"Studio City, Los Angeles, CA",54305
6037264301,"Brentwood, Los Angeles, CA",54290
6059099250,"Fountain Valley, CA",54283
6059099513,"Sunset Beach, Huntington Beach, CA",54275
6037482600,"Garvey, Monterey Park, CA",54273
6037264103,"Brentwood, Los Angeles, CA",54252
6059062612,"University Park, Irvine, CA",54198
6059052527,"Walnut, Irvine, CA",54188
6037403322,"Valle Lindo, Diamond Bar, CA",54108
6037577400,"Belmont Shore, Long Beach, CA",54096
6037408402,"La Puente, CA",54055
6037301701,"Pelanconi, Glendale, CA",54027
6059076201,"Orange, CA",54014
6037573601,"South of Conant, Long Beach, CA",54007
6037650102,"Northwest Torrance, Torrance, CA",54006
6065041912,"Corona, CA",53964
6059021817,"Yorba Linda, CA",53949
6059110108,"Los Alamitos, CA",53946
6037651402,"Walteria, Torrance, CA",53942
6059021812,"Anaheim Hills, Anaheim, CA",53925
6037301100,"Rossmoyne, Glendale, CA",53882
6059063805,"Costa Mesa, CA",53828
6059011300,"Fullerton, CA",53827
6037574500,"Los Altos, Long Beach, CA",53815
6059110604,"Buena Park, CA",53801
6059021924,"Anaheim Hills, Anaheim, CA",53780
6111008402,"Simi Valley, CA",53745
6065042217,"Mission Grove, Riverside, CA",53724
6111007903,"Simi Valley, CA",53714
6059011402,"Fullerton, CA",53707
6037101300,"Tujunga, Los Angeles, CA",53673
6037501700,"East Whitter, Whittier, CA",53659
6037271400,"Mar Vista, Los Angeles, CA",53633
6037800329,"Agoura Hills, CA",53628
6037194500,"Central LA, Los Angeles, CA",53621
6059099237,"Huntington Beach, CA",53603
6037602302,"HollyGlen, Hawthorne, CA",53597
6059001507,"Brea, CA",53555
6037501600,"Whittier, CA",53552
6059110109,"Cypress, CA",53540
6071000816,"Upland, CA",53518
6059099407,"Huntington Beach, CA",53505
6037400800,"Azusa, CA",53499
6071000819,"Upland, CA",53493
6059032029,"Lake Forest, CA",53470
6059099240,"Huntington Beach, CA",53450
6071002022,"Etiwanda, Rancho Cucamonga, CA",53405
6037463102,"Pasadena, CA",53380
6037106642,"Granada Hills, Los Angeles, CA",53377
6037267800,"West Los Angeles, Los Angeles, CA",53376
6037400402,"Glendora, CA",53350
6037574100,"South of Conant, Long Beach, CA",53325
6059001505,"Fullerton, CA",53298
6037135203,"West Hills, Los Angeles, CA",53274
6037620001,"El Segundo, CA",53264
6037301000,"Woodbury, Glendale, CA",53259
6037113237,"Chatsworth, Los Angeles, CA",53211
6059110001,"Garden Grove, CA",53165
6037134423,"West Hills, Los Angeles, CA",53158
6059001403,"La Habra, CA",53100
6059099417,"Huntington Beach, CA",53099
6071002029,"Rancho Cucamonga, CA",53016
6059099605,"Huntington Beach, CA",53015
6071002031,"Rancho Cucamonga, CA",53006
6037261101,"Beverly Hills, CA",53003
6037554513,"Cerritos, CA",52984
6037650401,"Madrona, Torrance, CA",52972
6037267901,"Century City, Los Angeles, CA",52963
6037214902,"Central LA, Los Angeles, CA",52938
6111007512,"Simi Valley, CA",52935
6059063806,"Mesa Verde, Costa Mesa, CA",52933
6059001506,"Brea, CA",52923
6037276604,"Playa del Rey, Los Angeles, CA",52857
6059099310,"Huntington Beach, CA",52731
6059032053,"Rancho Santa Margarita, CA",52697
6059032033,"Mission Viejo, CA",52665
6037430502,"Sierra Madre, CA",52650
6037134304,"Canoga Park, Los Angeles, CA",52645
6111006900,"Thousand Oaks, CA",52628
6037930101,"Los Angeles County, CA",52627
6071000107,"Chino Hills, CA",52616
6059032050,"Rancho Santa Margarita, CA",52608
6037310400,"Burbank, CA",52593
6037310602,"Burbank, CA",52572
6071002011,"Rancho Cucamonga, CA",52551
6111007514,"Simi Valley, CA",52540
6037403703,"Charter Oak, Covina, CA",52539
6037192001,"Central LA, Los Angeles, CA",52537
6059099222,"Westminster, CA",52533
6071000817,"Upland, CA",52511
6037621104,"Hermosa Beach, CA",52509
6037113232,"Canoga Park, Los Angeles, CA",52469
6037207501,"Downtown, Los Angeles, CA",52451
6037621004,"Hermosa Beach, CA",52418
6037574901,"Los Altos, Long Beach, CA",52415
6037503401,"East Whitter, Whittier, CA",52395
6065030603,"Victoria, Riverside, CA",52367
6037503602,"La Mirada, CA",52340
6059052517,"Oak Creek, Irvine, CA",52323
6037310201,"Burbank, CA",52321
6059110304,"Buena Park, CA",52288
6059011503,"Fullerton, CA",52272
6037271100,"West Los Angeles, Los Angeles, CA",52269
6037400403,"Bonita, San Dimas, CA",52255
6059075603,"Tustin, CA",52252
6111005202,"Camarillo, CA",52241
6059075504,"Tustin, CA",52230
6065041913,"Corona, CA",52204
6037141700,"Sherman Oaks, Beverly Hills, CA",52201
6059099604,"Huntington Beach, CA",52185
6037408624,"Hacienda Heights, CA",52176
6037432102,"Temple City, CA",52164
6111008306,"Simi Valley, CA",52164
6037481606,"Alhambra, CA",52161
6059001705,"Fullerton, CA",52111
6037111205,"Northridge, Los Angeles, CA",52095
6037482102,"Monterey Park, CA",52075
6037980010,"Echo Park, Los Angeles, CA",52045
6059011401,"Fullerton, CA",52038
6037800327,"Agoura Hills, CA",52037
6071007104,"Grand Terrace, CA",52019
6037403319,"Westmont, Diamond Bar, CA",52019
6037621002,"Hermosa Beach, CA",52008
6059021918,"Orange, CA",52002
6037401601,"Bonita, La Verne, CA",52002
6059110003,"Garden Grove, CA",51991
6037430501,"Sierra Madre, CA",51983
6037297000,"San Pedro, Los Angeles, CA",51981
6037143700,"Studio City, Los Angeles, CA",51931
6037113213,"Chatsworth, Los Angeles, CA",51930
6059001101,"Los Nietos, La Habra, CA",51889
6037620102,"El Segundo, CA",51880
6037462500,"Pasadena, CA",51879
6037403408,"Walnut, CA",51865
6059021807,"Anaheim Hills, Anaheim, CA",51858
6037403321,"Westmont, Diamond Bar, CA",51841
6037701501,"Wilshire Montana, Santa Monica, CA",51825
6037141101,"Sherman Oaks, Los Angeles, CA",51821
6037573700,"Carson Park, Long Beach, CA",51821
6059980000,"Anaheim Resort, Anaheim, CA",51817
6037301501,"Grandview, Glendale, CA",51805
6111007613,"Moorpark, CA",51804
6059052416,"Lake Forest, CA",51801
6037554514,"Cerritos, CA",51781
6037577200,"Belmont Heights, Long Beach, CA",51778
6037300400,"Crescenta Highlands, Glendale, CA",51775
6037115301,"Northridge, Los Angeles, CA",51768
6059099408,"Bolsa Chica-Heil, Huntington Beach, CA",51757
6037577300,"Belmont Shore, Long Beach, CA",51720
6037460100,"Altadena, CA",51701
6037700300,"Central LA, West Hollywood, CA",51671
6071010804,"Crestline, CA",51642
6037291300,"Harbor, Gardena, CA",51640
6037111206,"Northridge, Los Angeles, CA",51630
6059052519,"Woodbridge, Irvine, CA",51597
6037189902,"Central LA, Los Angeles, CA",51590
6037620101,"El Segundo, CA",51587
6071001901,"Chino, CA",51581
6111006600,"Thousand Oaks, CA",51579
6059075808,"Orange, CA",51547
6037554515,"Cerritos, CA",51542
6037651001,"Southeast Torrance, Torrance, CA",51532
6037431800,"Arcadia, CA",51532
6037403401,"Valle Lindo, West Covina, CA",51520
6065048100,"Corona, CA",51511
6037401312,"Bonita, San Dimas, CA",51496
6111005503,"Camarillo, CA",51481
6037800408,"Central Malibu, Malibu, CA",51479
6037650004,"Northwest Torrance, Torrance, CA",51478
6037300600,"Montrose, Glendale, CA",51432
6059099703,"Midway City, CA",51414
6037430721,"Arcadia, CA",51409
6071011001,"Blue Jay, Lake Arrowhead, CA",51397
